id,question,answer
1310,Do director of film Born American and director of film The White Raven (1998 Film) share the same nationality?,"Harlin's movies have earned$ 525,410,873 in the United States and$ 1,160,546,146 in the worldwide aggregate box office as of October 2016, making him the 115th highest- grossing director in the global film market."
1311,Where did Prince Wilhelm Of Prussia (1906–1940)'s mother die?,Prince Wilhelm of Prussia (Wilhelm Friedrich Franz Joseph Christian Olaf; 4 July 1906 – 26 May 1940) was the eldest child of Crown Prince Wilhelm of Germany and Duchess Cecilie of Mecklenburg-Schwerin.
1312,Who is Keanolani's aunt?,"At a young age, she was chosen to attend the Chiefs' Children's School (later renamed the Royal School) taught by the American missionary Amos Starr Cooke and his wife, Juliette Montague Cooke, alongside her half-sister Jane Loeau and fourteen of her royal cousins."
1313,Who is the spouse of the director of film Shaadi Ka Laddoo?,Shaadi Ka Laddoo is a 2004 Bollywood comedy film directed by Raj Kaushal.
1314,Where did the director of film Cry Wolf (1947 Film) die?,"Cry Wolf is a 1947 American mystery film directed by Peter Godfrey and featuring Errol Flynn and Barbara Stanwyck, based on the novel of the same name by Marjorie Carleton."
1315,"Which film has the director who is older, Divorce In Montevideo or The Western Whirlwind?","Manuel Romeo (September 21, 1891 – October 3, 1954 in Buenos Aires) was an Argentine film director, screenwriter, dramatist and score composer, and one of the influential directors in the cinema of Argentina of the classic era."
1316,"Which film has the director who died first, Poonthenaruvi or Fun In The Barracks?","Fun in the Barracks( French: Les Gaîtés de l'escadron or Les Gaietés de l'escadron) is a 1932 French comedy film directed by Maurice Tourneur and starring Raimu, Jean Gabin and Fernandel."
1317,"Which film has the director died later, Make Way For Tomorrow or Stay Away, Joe?","Peter Tewksbury( March 21, 1923 – February 20, 2003) was an American film and television director who directed"" Sunday in New York"" with Jane Fonda in 1963, the"" Father Knows Best"" TV series( 131 episodes, 1954 – 1960), and a pair of Elvis Presley movies."
1318,Are both Little Partridge River (Ontario) and Louse Creek (Alaska) located in the same country?,"The Little Partridge River is a river in northern Cochrane District in Northeastern Ontario, Canada."
1319,"Which film whose director was born first, Wedding In Paris or Twists Of Fate?",Matrimonio a Parigi( internationally released as Wedding in Paris) is a 2011 Italian comedy film directed by Claudio Risi and starring Massimo Boldi.
1320,"Who was born earlier, Seth Andrews or Seo Bong-Soo?","Seth Andrews( born April 12, 1968) is an American activist, author, and speaker on the subject of atheism."
1321,"Which film was released earlier, Schlußakkord or Bettler Gmbh?","It was made under contract for( UFA), stars Lil Dagover and Willy Birgel and also features Maria von Tasnady, and premièred in 1936."
1322,"Who is the paternal grandmother of Alix, Countess Of Eu?","She was the daughter of Henry II, Count of Eu, and Matilda, daughter of Hamelin de Warenne, Earl of Surrey, and Isabel de Warenne."
1323,Was Joe Ollmann or Abdón Cifuentes born first?,"Abdón Cifuentes Espinoza, GCSG (16 May 1835 - 14 April 1928) was one of Chile's most significant Catholic politicians in the nineteenth century."
1324,What is the place of birth of the director of film Charley'S Aunt (1925 Film)?,"Charley's Aunt is a 1925 American silent comedy film directed by Scott Sidney and starring Syd Chaplin, Ethel Shannon and Lucien Littlefield."
1325,Who was born first out of Catherine Picard and Art Dorrington?,"Art Dorrington( March 13, 1930 – December 29, 2017) was a Canadian professional ice hockey centre."
1326,What is the place of birth of the director of film Blues Metropolitano?,"Born in Pomigliano d'Arco, after an activity as a film critic, Piscicelli started his film career with some documentary short films shot and set in his hometown."
1327,What is the place of birth of the performer of song Afterglow (Tina Turner Song)?,"Success followed with a string of notable hits, including ""River Deep – Mountain High"" (1966), the Grammy-winning ""Proud Mary"" (1971), and ""Nutbush City Limits"" (1973)."
1328,When did Prince Vakhtang Of Imereti's father die?,"Vakhtang (after 1495 – 1548) was a Georgian prince of the Bagrationi dynasty of the Kingdom of Imereti, a younger son of King Alexander II of Imereti by his wife Tamar."
1329,Where did Ragnall Guthfrithson's father die?,from AD 918 until death in 934) was a Viking leader who ruled Dublin and briefly Viking Northumbria in the early 10th century.
1330,Which country Eugen D'Albert's wife is from?,"María Teresa Gertrudis de Jesús Carreño García (December 22, 1853June 12, 1917) was a Venezuelan pianist, soprano, composer, and conductor."
1331,"Which film has the director who was born earlier, The Rack Pack or Without A Clue?","Thomas Everett"" Thom"" Eberhardt( born March 7, 1947 in Los Angeles, California) is an American film director, producer and screenwriter."
1332,What is the place of birth of John E. Irving's father?,"John E. Irving CM (January 1, 1932 – July 21, 2010) was a Canadian businessman, the youngest son of the industrialist K. C. Irving."
1333,Where was the director of film Talk About A Stranger born?,"David Shedd Bradley (6 April 1920 in Winnetka, Illinois – 19 December 1997 in Los Angeles, California) was an American motion picture director, actor, film collector, and university instructor."
1334,Who was born first out of A. K. M. Nurul Islam and Lajos Kelemen?,( 1 August 1919 – 14 November 2015) was a Bangladeshi politician and Vice President of Bangladesh.
1335,"Who was born first, Eveline Hill or Tigran Gharabaghtsyan?","Eveline Hill, JP( née Ridyard; 16 April 1898 – 22 September 1973) was a British catering business manager and Conservative Party politician."
1336,"Which film was released more recently, A Wicked Tale or There Were Two Bachelors?","There Were Two Bachelors( German: Es waren zwei Junggesellen) is a 1936 German comedy film directed by Franz Seitz and starring Manfred Koempel- Pilot, Adolf Gondrell and Joe Stöckel."
1337,Which country Princess Catherine Of Schleswig-Holstein-Sonderburg-Beck's father is from?,"Born in Königsberg, Brandenburg-Prussia, Peter August became Governor General of Reval (Tallinn), Governor of Estonia, and a Field Marshal in the Russian Imperial Army."
1338,"Who was born earlier, Achraf Tadili or Diego De Miguel?","Achraf Tadili( born July 8, 1980 in Casablanca, Morocco) is a Canadian athlete competing over 800 metres."
1339,Where does the director of film War Dogs (1943 Film) work at?,"After working odd jobs and as a banker, Barbera joined Van Beuren Studios in 1927 and subsequently Terrytoons in 1929."
1340,Who is the maternal grandmother of Princess Catherine Of Württemberg?,"Princess Catherine Frederica Charlotte of Württemberg (Stuttgart, 24 August 1821 – Stuttgart, 6 December 1898) was a daughter of William I of Württemberg and Pauline Therese of Württemberg."
1341,Who is Şah Sultan (Daughter Of Selim Ii)'s paternal grandmother?,"Şah Sultan (1544 – 3 November 1577) was an Ottoman princess, the daughter of Selim II (reign 1566–74) and Nurbanu Sultan."
1342,Where was the place of death of the performer of song I Didn'T Know My Own Strength (Whitney Houston Song)?,"""I Didn't Know My Own Strength"" is a song performed by American R&B-pop singer Whitney Houston, taken from her seventh studio album """
1343,"Do the bands Bbc Philharmonic and Torch Song (Band), originate from the same country?",The BBC Philharmonic is a national British broadcasting symphony orchestra and is one of five radio orchestras maintained by the British Broadcasting Corporation.
1344,Where was the father of Marianus V Of Arborea born?,"On 16 March 1357, he became a vassal of Peter IV of Aragon, the nominal King of Sardinia, to legitimate the possessions of his father on the island."
1345,Who is the paternal grandfather of Diya Al-Dawla?,"The son of Rukn al-Dawla, Fanna Khusraw was given the title of Adud al-Dawla by the Abbasid caliph in 948 when he was made emir of Fars after the death of his childless uncle"
1346,What is the place of birth of the director of film The White Terror (Film)?,"Hubert August Piel (12 July 1892, in Düsseldorf – 27 March 1963, in Munich), known as Harry Piel, was a prolific German actor, film director, screenwriter and film producer who was involved in over 150 films."
1347,What nationality is Saw Hnaung Of Sagaing's husband?,Athinhkaya Saw Yun (also spelled Sawyun; 1299 – 5 February 1327) was the founder of the Sagaing Kingdom of Myanmar (Burma).
1348,"Who was born first, Lương Hoàng Nam or Ross Mcmillan?",Lương Hoàng Nam (born 2 March 1997) is a Vietnamese footballer who plays as a Central midfielder for V-League (Vietnam) club Hải Phòng
1349,"Which film has the director who was born earlier, Father And The Boys or Valerie Inside Outside?",Brunello Rondi( 26 November 1924 – 7 November 1989) was a prolific Italian screen writer and film director best known for his frequent script collaborations with Federico Fellini.
1350,Who is the father-in-law of Plautia Urgulanilla?,"He was a descendant of the Octavii Rufi (through Gaius Octavius), Julii Caesares (through Julia Minor and Julia Antonia), and the Claudii Nerones (through Nero Claudius Drusus)."
1351,Where was the place of death of John Manners Tollemache's mother?,Her elder brothers left no surviving issue on their deaths which enabled her to enjoy and help to pass on to her descendants the key family settlement properties: Helmingham Hall and Ham House in England.
1352,"Which film has the director who was born later, He Knows You'Re Alone or The Twilight Saga: Breaking Dawn – Part 2?","He Knows You're Alone is a 1980 American slasher film directed by Armand Mastroianni, written by Scott Parker, and starring Caitlin O'Heaney, Don Scardino, Elizabeth Kemp, Tom Rolfing, and Tom Hanks in his feature film debut."
1353,"Which film has the director died later, The Rebellion Of The Brides or Arizona Gang Busters?","Sam Newfield, born Samuel Neufeld,( December 6, 1899- November 10, 1964), also known as Sherman Scott or Peter Stewart, was an American B-movie director, one of the most prolific in American film history —he is credited with directing over 250 feature films in a career which began during the silent era and ended in 1958."
1354,"When did John St John, 20Th Baron St John Of Bletso's father die?","St John, 19th Baron St John of Bletso DL JP (5 November 1877 – 28 October 1934) was an English peer."
